,open_time,close_time,Open,High,Low,Volume
0,1599091200000,1599094799999,373.49000000,378.70000000,372.00000000,52.25552000
1,1599094800000,1599098399999,377.72000000,381.40000000,375.94000000,71.34588000
2,1599098400000,1599101999999,381.58000000,383.13000000,379.77000000,32.99144000
3,1599102000000,1599105599999,381.15000000,381.87000000,375.00000000,43.93368000
4,1599105600000,1599109199999,377.62000000,379.25000000,369.16000000,126.12180000
5,1599109200000,1599112799999,370.42000000,372.32000000,366.56000000,143.42262000
6,1599112800000,1599116399999,368.77000000,370.70000000,363.00000000,281.82718000
7,1599116400000,1599119999999,365.17000000,372.56000000,361.79000000,234.11902000
8,1599120000000,1599123599999,372.45000000,373.20000000,369.36000000,309.89748000
9,1599123600000,1599127199999,371.70000000,372.62000000,367.09000000,124.87142000
10,1599127200000,1599130799999,366.98000000,367.65000000,360.04000000,284.79554000
11,1599130800000,1599134399999,361.26000000,365.65000000,358.99000000,281.62333000
12,1599134400000,1599137999999,360.16000000,362.67000000,340.59000000,1349.02709000
13,1599138000000,1599141599999,350.98000000,355.80000000,346.91000000,343.89525000
14,1599141600000,1599145199999,356.07000000,356.24000000,347.85000000,253.04545000
15,1599145200000,1599148799999,349.24000000,349.24000000,332.98000000,595.45821000
16,1599148800000,1599152399999,342.09000000,346.63000000,333.36000000,564.25726000
17,1599152400000,1599155999999,333.89000000,344.74000000,333.89000000,414.90201000
18,1599156000000,1599159599999,339.50000000,342.61000000,334.45000000,144.24915000
19,1599159600000,1599163199999,338.45000000,342.64000000,335.90000000,83.47367000
20,1599163200000,1599166799999,341.06000000,346.07000000,341.06000000,258.81018000
21,1599166800000,1599170399999,344.79000000,345.90000000,338.49000000,68.17614000
22,1599170400000,1599173999999,342.03000000,342.57000000,335.50000000,105.69653000
23,1599174000000,1599177599999,336.30000000,336.30000000,316.50000000,779.68348000
24,1599177600000,1599181199999,324.43000000,332.23000000,319.30000000,351.95684000
